"ratio";"espectrometro";"suelo";"dia"
4,87904870689558;"espectrometro_1";"rural";"1"
5,53964502103344;"espectrometro_1";"rural";"2"
9,11741662829825;"espectrometro_1";"rural";"3"
6,14101678284915;"espectrometro_1";"rural";"1"
6,25857547032189;"espectrometro_1";"rural";"2"
9,43012997376656;"espectrometro_1";"rural";"3"
2,9218324119784;"espectrometro_1";"urbano";"1"
-0,530122469213068;"espectrometro_1";"urbano";"2"
0,626294296212948;"espectrometro_1";"urbano";"3"
1,10867605980008;"espectrometro_1";"urbano";"1"
4,44816359487892;"espectrometro_1";"urbano";"2"
2,71962765411473;"espectrometro_1";"urbano";"3"
6,8015429011881;"espectrometro_2";"rural";"1"
6,22136543189024;"espectrometro_2";"rural";"2"
4,88831773049185;"espectrometro_2";"rural";"3"
9,57382627360616;"espectrometro_2";"rural";"1"
6,99570095645848;"espectrometro_2";"rural";"2"
2,06676568674072;"espectrometro_2";"rural";"3"
-0,597288196872629;"espectrometro_2";"urbano";"1"
-2,94558281545587;"espectrometro_2";"urbano";"2"
-4,13564741197369;"espectrometro_2";"urbano";"3"
-2,43594982931659;"espectrometro_2";"urbano";"1"
-4,05200889661448;"espectrometro_2";"urbano";"2"
-3,45778245858228;"espectrometro_2";"urbano";"3"
2,74992146430149;"espectrometro_3";"rural";"1"
0,626613378515173;"espectrometro_3";"rural";"2"
5,67557408898905;"espectrometro_3";"rural";"3"
4,30674623567303;"espectrometro_3";"rural";"1"
1,7237261259761;"espectrometro_3";"rural";"2"
6,50762984213985;"espectrometro_3";"rural";"3"
2,85292844295363;"espectrometro_3";"urbano";"1"
1,40985703401546;"espectrometro_3";"urbano";"2"
3,79025132209004;"espectrometro_3";"urbano";"3"
3,75626697506608;"espectrometro_3";"urbano";"1"
3,64316216327497;"espectrometro_3";"urbano";"2"
3,37728050820018;"espectrometro_3";"urbano";"3"
